aluno_id,ano_letivo,turma,disciplina,fase,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif
2,2017/2018,17/18 - 11º ANO A2,BIO.GEO.,CE1,15.5,15,15,16,16
2,2017/2018,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE1,16.1,14,15,17,16
2,2017/2018,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE2,18.3,14,15,17,16
2,2018/2019,18/19 - 12º ANO A2,MAT.A,CE1,18.6,18,19,19,18
2,2018/2019,18/19 - 12º ANO A2,PORT.,CE1,15.7,17,18,18,17
8,2014/2015,14/15 - 11º ANO B,ECON.A,CE1,7.6,8,10,10,11
8,2014/2015,14/15 - 11º ANO B,FILO.,CE1,10.4,12,12,11,11
8,2015/2016,15/16 - 12º ANO C,PORT.,CE1,11.7,12,10,11,11
13,2016/2017,16/17 - 11º ANO A2,FÍS.QUÍM.A,CE1,11.6,17,16,16,16
13,2016/2017,16/17 - 11º ANO A2,GEO.DESC.A,CE1,19.5,17,19,20,19
13,2017/2018,17/18 - 12º ANO A2,MAT.A,CE1,19.0,19,17,18,18
13,2017/2018,17/18 - 12º ANO A2,PORT.,CE1,12.0,13,13,14,13
27,2018/2019,18/19 - 11º ANO B1,ECON.A,CE1,11.8,15,16,16,16
27,2018/2019,18/19 - 11º ANO B1,ECON.A,CE2,13.5,15,16,16,16
27,2018/2019,18/19 - 11º ANO B1,GEOG.A,CE1,11.9,16,16,16,15
27,2018/2019,18/19 - 11º ANO B1,GEOG.A,CE2,13.6,16,16,16,15
28,2017/2018,17/18 - 11º ANO D,HCA,CE1,14.9,10,10,10,10
37,2017/2018,17/18 - 11º ANO A1,BIO.GEO.,CE1,12.5,11,11,12,13
37,2017/2018,17/18 - 11º ANO A1,BIO.GEO.,CE2,10.1,11,11,12,13
37,2017/2018,17/18 - 11º ANO A1,FÍS.QUÍM.A,CE1,13.2,12,14,13,13
