aluno_id,ano_letivo,nivel,ano_turma,turma,disciplina,fase,nota_exame_original,escala_original,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif,cfd,epoca_atipica
1,2012/2013,1º Ciclo do Ensino Básico,4º,12/13 - 4º ANO A,MAT.,CE1,3,1-5,10.0,4,3,3,,3,False
1,2012/2013,1º Ciclo do Ensino Básico,4º,12/13 - 4º ANO A,PORT.,CE1,3,1-5,10.0,3,3,3,,3,False
1,2014/2015,2º Ciclo do Ensino Básico,6º,14/15 - 6º ANO C,MAT.,CE1,83,0-100,16.6,3,3,4,4,4,False
1,2014/2015,2º Ciclo do Ensino Básico,6º,14/15 - 6º ANO C,PORT.,CE1,76,0-100,15.2,3,3,3,3,3,False
2,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,MAT.,CE1,4,0-100,0.8,4,4,4,,4,False
2,2012/2013,2º Ciclo do Ensino Básico,6º,12/13 - 6º ANO B,PORT.,CE1,4,0-100,0.8,4,4,4,,4,False
2,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO B,MAT.,CE1,96,0-100,19.2,4,4,4,4,4,False
2,2015/2016,3º Ciclo do Ensino Básico,9º,15/16 - 9º ANO B,PORT.,CE1,73,0-100,14.6,4,4,4,4,4,False
6,2012/2013,3º Ciclo do Ensino Básico,9º,12/13 - 9º ANO B,MAT.,CE1,4,0-100,0.8,4,4,4,,4,False
6,2012/2013,3º Ciclo do Ensino Básico,9º,12/13 - 9º ANO B,PORT.,CE1,3,0-100,0.6,4,4,4,,4,False
7,2011/2012,2º Ciclo do Ensino Básico,6º,11/12 - 6º ANO A,LING.PORT,CE1,80,0-100,16.0,3,4,4,,4,False
7,2011/2012,2º Ciclo do Ensino Básico,6º,11/12 - 6º ANO A,MAT.,CE1,79,0-100,15.8,3,4,4,,4,False
7,2014/2015,3º Ciclo do Ensino Básico,9º,14/15 - 9º ANO C,MAT.,CE1,76,0-100,15.2,4,5,5,5,5,False
7,2014/2015,3º Ciclo do Ensino Básico,9º,14/15 - 9º ANO C,PORT.,CE1,59,0-100,11.8,3,3,3,3,3,False
