aluno_id,ano_letivo,nivel,ano_turma,turma,disciplina,fase,nota_exame_original,escala_original,nota_exame_norm_0_20,nota_p1,nota_p2,nota_p3,cif,cfd,epoca_atipica
2,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A2,BIO.GEO.,CE1,155,0-200,15.5,15,15,16,16,16,False
2,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE1,161,0-200,16.1,14,15,17,16,17,False
2,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A2,FÍS.QUÍM.A,CE2,183,0-200,18.3,14,15,17,16,17,False
2,2018/2019,Ensino Secundário,12º,18/19 - 12º ANO A2,MAT.A,CE1,186,0-200,18.6,18,19,19,18,18,False
2,2018/2019,Ensino Secundário,12º,18/19 - 12º ANO A2,PORT.,CE1,157,0-200,15.7,17,18,18,17,17,False
8,2014/2015,Ensino Secundário,11º,14/15 - 11º ANO B,ECON.A,CE1,76,0-200,7.6,8,10,10,11,10,False
8,2014/2015,Ensino Secundário,11º,14/15 - 11º ANO B,FILO.,CE1,104,0-200,10.4,12,12,11,11,11,False
8,2015/2016,Ensino Secundário,12º,15/16 - 12º ANO C,PORT.,CE1,117,0-200,11.7,12,10,11,11,11,False
11,2020/2021,Ensino Secundário,11º,20/21 - 11º ANO A2,FÍS.QUÍM.A,CE2,118,0-200,11.8,14,15,15,15,15,True
11,2021/2022,Ensino Secundário,12º,21/22 - 12º ANO A2,MAT.A,CE2,157,0-200,15.7,12,11,14,15,15,True
13,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO A2,FÍS.QUÍM.A,CE1,116,0-200,11.6,17,16,16,16,15,False
13,2016/2017,Ensino Secundário,11º,16/17 - 11º ANO A2,GEO.DESC.A,CE1,195,0-200,19.5,17,19,20,19,19,False
13,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO A2,MAT.A,CE1,190,0-200,19.0,19,17,18,18,18,False
13,2017/2018,Ensino Secundário,12º,17/18 - 12º ANO A2,PORT.,CE1,120,0-200,12.0,13,13,14,13,13,False
22,2020/2021,Ensino Secundário,11º,20/21 - 11º ANO D,GEO.DESC.A,CE2,160,0-200,16.0,16,16,18,17,17,True
23,2021/2022,Ensino Secundário,12º,21/22 - 12º ANO A2,MAT.A,CE1,118,0-200,11.8,7,8,8,9,12,True
23,2021/2022,Ensino Secundário,12º,21/22 - 12º ANO A2,MAT.A,CE2,62,0-200,6.2,7,8,8,9,12,True
27,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B1,ECON.A,CE1,118,0-200,11.8,15,16,16,16,15,False
27,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B1,ECON.A,CE2,135,0-200,13.5,15,16,16,16,15,False
27,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B1,GEOG.A,CE1,119,0-200,11.9,16,16,16,15,15,False
27,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO B1,GEOG.A,CE2,136,0-200,13.6,16,16,16,15,15,False
28,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO D,HCA,CE1,149,0-200,14.9,10,10,10,10,12,False
34,2020/2021,Ensino Secundário,11º,20/21 - 11º ANO A1,BIO.GEO.,CE2,161,0-200,16.1,17,18,18,18,18,True
34,2020/2021,Ensino Secundário,11º,20/21 - 11º ANO A1,FÍS.QUÍM.A,CE2,167,0-200,16.7,16,17,18,18,18,True
37,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A1,BIO.GEO.,CE1,125,0-200,12.5,11,11,12,13,13,False
37,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A1,BIO.GEO.,CE2,101,0-200,10.1,11,11,12,13,13,False
37,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A1,FÍS.QUÍM.A,CE1,132,0-200,13.2,12,14,13,13,13,False
37,2017/2018,Ensino Secundário,11º,17/18 - 11º ANO A1,FÍS.QUÍM.A,CE2,96,0-200,9.6,12,14,13,13,13,False
37,2018/2019,Ensino Secundário,12º,18/19 - 12º ANO A1,MAT.A,CE1,169,0-200,16.9,15,15,20,15,16,False
37,2018/2019,Ensino Secundário,12º,18/19 - 12º ANO A1,PORT.,CE1,117,0-200,11.7,11,11,11,12,12,False
40,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A2,FILO.,CE1,126,0-200,12.6,14,15,16,16,15,False
40,2018/2019,Ensino Secundário,11º,18/19 - 11º ANO A2,FÍS.QUÍM.A,CE1,160,0-200,16.0,12,15,15,15,15,False
