ano_civil_exame,fase,disciplina_oficial,disciplina_portal,media_nacional_0_200,media_nacional_0_20,formato_origem
2013,1,Português,PORT.,110,11.0,AD
2013,1,PLNM iniciação,,125,12.5,AD
2013,1,PLNM intermédio,,142,14.2,AD
2013,1,Latim A,,95,9.5,AD
2012,1,Latim A,,108,10.8,AD
2012,1,Português Língua não materna,,125,12.5,AD
2012,1,Português,PORT.,111,11.1,AD
2012,1,Biologia e Geologia,BIO.GEO.,93,9.3,AD
2012,1,História B,HIST. B,123,12.3,AD
2012,1,História da Cultura e das Artes,HCA,99,9.9,AD
2012,1,Matemática Aplic. às Ciências,MACS,95,9.5,AD
2012,1,Filosofia,FILO.,78,7.8,AD
2012,1,Matemática A,MAT.A,87,8.7,AD
2012,1,Literatura Portuguesa,LIT.PORT.,103,10.3,AD
2012,1,Matemática B,MAT.B,60,6.0,AD
2012,1,História A,HIST.A,110,11.0,AD
2012,1,Geometria Descritiva A,GEO.DESC.A,90,9.0,AD
2012,1,Economia A,ECON.A,101,10.1,AD
2012,1,Desenho A,DES.A,120,12.0,AD
2012,1,Física e Química A,FÍS.QUÍM.A,75,7.5,AD
2012,1,Geografia A,GEOG.A,103,10.3,AD
2012,1,Alemão (iniciação -bienal),,103,10.3,AD
2012,1,Francês (continuação -bienal),,121,12.1,AD
2012,1,Espanhol (iniciação -bienal),,127,12.7,AD
2012,1,Inglês (continuação -bienal),,126,12.6,AD
2012,1,Alemão (continuação -bienal),,166,16.6,AD
2012,1,Espanhol (continuação -bienal),,132,13.2,AD
2012,2,Português,PORT.,58,5.8,AD
2012,2,Português Língua não materna,,106,10.6,AD
2012,2,Filosofia,FILO.,76,7.6,AD
2012,2,Matemática A,MAT.A,83,8.3,AD
2012,2,Literatura Portuguesa,LIT.PORT.,88,8.8,AD
2012,2,Matemática B,MAT.B,70,7.0,AD
2012,2,História A,HIST.A,94,9.4,AD
2012,2,Desenho A,DES.A,123,12.3,AD
2012,2,Biologia e Geologia,BIO.GEO.,75,7.5,AD
2012,2,História B,HIST. B,95,9.5,AD
2012,2,História da Cultura e das Artes,HCA,80,8.0,AD
2012,2,Matemática Aplic. às Ciências,MACS,84,8.4,AD
2012,2,Geometria Descritiva A,GEO.DESC.A,89,8.9,AD
2012,2,Economia A,ECON.A,89,8.9,AD
2012,2,Latim A,,75,7.5,AD
2012,2,Física e Química A,FÍS.QUÍM.A,73,7.3,AD
2012,2,Geografia A,GEOG.A,100,10.0,AD
2012,2,Alemão (iniciação -bienal),,94,9.4,AD
2012,2,Francês (continuação -bienal),,85,8.5,AD
2012,2,Espanhol (iniciação -bienal),,99,9.9,AD
2012,2,Inglês (continuação -bienal),,103,10.3,AD
2012,2,Alemão (continuação -bienal),,153,15.3,AD
2012,2,Espanhol (continuação -bienal),,126,12.6,AD
2014,2,Português,PORT.,104,10.4,AD
2014,2,Filosofia,FILO.,87,8.7,AD
2014,2,PLNM iniciação,,70,7.0,AD
2014,2,PLNM intermédio,,130,13.0,AD
2014,2,Física e Química A,FÍS.QUÍM.A,82,8.2,AD
2014,2,Geografia A,GEOG.A,110,11.0,AD
2014,2,História da Cultura e das Artes,HCA,80,8.0,AD
2014,2,Geometria Descritiva A,GEO.DESC.A,76,7.6,AD
2014,2,Economia A,ECON.A,97,9.7,AD
2014,2,Matemática Aplicada às Ciências Sociais,MACS,85,8.5,AD
2014,2,Alemão,,84,8.4,AD
2014,2,Francês,,96,9.6,AD
2014,2,Espanhol,,102,10.2,AD
2014,2,Inglês,,110,11.0,AD
2014,2,Biologia e Geologia,BIO.GEO.,81,8.1,AD
2014,2,Matemática A,MAT.A,81,8.1,AD
2014,2,Literatura Portuguesa,LIT.PORT.,108,10.8,AD
2014,2,Matemática B,MAT.B,71,7.1,AD
2014,2,História A,HIST.A,88,8.8,AD
2014,2,Desenho A,DES.A,126,12.6,AD
2014,2,História B,HIST. B,90,9.0,AD
2014,2,Latim A,,91,9.1,AD
2014,1,Filosofia,FILO.,97,9.7,AD
2014,1,Português,PORT.,121,12.1,AD
2014,1,PLNM iniciação,,145,14.5,AD
2014,1,PLNM intermédio,,157,15.7,AD
2014,1,Latim A,,92,9.2,AD
2014,1,Física e Química A,FÍS.QUÍM.A,88,8.8,AD
2014,1,História da Cultura e das Artes,HCA,89,8.9,AD
2014,1,Geografia A,GEOG.A,105,10.5,AD
2014,1,História A,HIST.A,92,9.2,AD
2014,1,Desenho A,DES.A,126,12.6,AD
2014,1,História B,HIST. B,110,11.0,AD
2014,1,Biologia e Geologia,BIO.GEO.,107,10.7,AD
2014,1,Matemática Aplicada às Ciências,MACS,90,9.0,AD
2014,1,Economia A,ECON.A,92,9.2,AD
2014,1,Matemática A,MAT.A,78,7.8,AD
2014,1,Matemática B,MAT.B,74,7.4,AD
2014,1,Alemão,,114,11.4,AD
2014,1,Francês,,119,11.9,AD
2014,1,Espanhol,,121,12.1,AD
2014,1,Inglês,,127,12.7,AD
2014,1,Geometria Descritiva A,GEO.DESC.A,99,9.9,AD
2014,1,Literatura Portuguesa,LIT.PORT.,114,11.4,AD
2015,1,Filosofia,FILO.,102,10.2,B
2015,1,Português,PORT.,102,10.2,B
2015,1,PLNM intermédio,,136,13.6,B
2015,1,Latim A,,112,11.2,B
2015,1,Física e Química A,FÍS.QUÍM.A,94,9.4,B
2015,1,Geografia A,GEOG.A,109,10.9,B
2015,1,História da Cultura e das Artes,HCA,85,8.5,B
2015,1,História A,HIST.A,101,10.1,B
2015,1,Desenho A,DES.A,129,12.9,B
2015,1,História B,HIST. B,115,11.5,B
2015,1,Alemão,,119,11.9,B
2015,1,Francês,,127,12.7,B
2015,1,Espanhol,,113,11.3,B
2015,1,Inglês,,118,11.8,B
2015,1,Biologia e Geologia,BIO.GEO.,84,8.4,B
2015,1,Economia A,ECON.A,101,10.1,B
2015,1,Matemática A,MAT.A,104,10.4,B
2015,1,Matemática B,MAT.B,91,9.1,B
2015,1,Matemática Aplic. às Ciências Soc.,MACS,113,11.3,B
2015,1,Geometria Descritiva A,GEO.DESC.A,105,10.5,B
2015,1,Literatura Portuguesa,LIT.PORT.,99,9.9,B
2016,1,Português,PORT.,100,10.0,B
2016,1,PLNM intermédio,,123,12.3,B
2016,1,Filosofia,FILO.,101,10.1,B
2016,1,Física e Química A,FÍS.QUÍM.A,105,10.5,B
2016,1,Geografia A,GEOG.A,110,11.0,B
2016,1,História da Cultura e das Artes,HCA,88,8.8,B
2016,1,História A,HIST.A,90,9.0,B
2016,1,Desenho A,DES.A,126,12.6,B
2016,1,História B,HIST. B,108,10.8,B
2016,1,Latim A,,108,10.8,B
2016,1,Biologia e Geologia,BIO.GEO.,98,9.8,B
2016,1,Economia A,ECON.A,97,9.7,B
2016,1,Alemão,,116,11.6,B
2016,1,Francês,,94,9.4,B
2016,1,Espanhol,,113,11.3,B
2016,1,Inglês,,137,13.7,B
2016,1,Matemática A,MAT.A,96,9.6,B
2016,1,Matemática B,MAT.B,92,9.2,B
2016,1,Matemática Aplic. às Ciências Soc.,MACS,104,10.4,B
2016,1,Geometria Descritiva A,GEO.DESC.A,100,10.0,B
2016,1,Literatura Portuguesa,LIT.PORT.,101,10.1,B
2016,2,Português,PORT.,97,9.7,B
2016,2,PLNM intermédio,,124,12.4,B
2016,2,Filosofia,FILO.,87,8.7,B
2016,2,Biologia e Geologia,BIO.GEO.,105,10.5,B
2016,2,Desenho A,DES.A,133,13.3,B
2016,2,Geografia A,GEOG.A,87,8.7,B
2016,2,Latim A,,38,3.8,B
2016,2,História A,HIST.A,85,8.5,B
2016,2,Geometria Descritiva A,GEO.DESC.A,104,10.4,B
2016,2,Alemão,,107,10.7,B
2016,2,Francês,,81,8.1,B
2016,2,Espanhol,,98,9.8,B
2016,2,Inglês,,112,11.2,B
2016,2,Economia A,ECON.A,110,11.0,B
2016,2,Física e Química A,FÍS.QUÍM.A,83,8.3,B
2016,2,História da Cultura e das Artes,HCA,79,7.9,B
2016,2,Matemática A,MAT.A,88,8.8,B
2016,2,Matemática B,MAT.B,84,8.4,B
2016,2,Matemática Aplic. às Ciências Soc.,MACS,71,7.1,B
2016,2,História B,HIST. B,108,10.8,B
2016,2,Literatura Portuguesa,LIT.PORT.,97,9.7,B
2017,1,Português,PORT.,124,12.4,B
2017,1,PLNM intermédio,,130,13.0,B
2017,1,Filosofia,FILO.,102,10.2,B
2017,1,Física e Química A,FÍS.QUÍM.A,92,9.2,B
2017,1,Geografia A,GEOG.A,107,10.7,B
2017,1,História da Cultura e das Artes,HCA,86,8.6,B
2017,1,História A,HIST.A,98,9.8,B
2017,1,Desenho A,DES.A,132,13.2,B
2017,1,História B,HIST. B,109,10.9,B
2017,1,Latim A,,104,10.4,B
2017,1,Matemática A,MAT.A,101,10.1,B
2017,1,Matemática B,MAT.B,96,9.6,B
2017,1,Matemática Aplic. às Ciências Soc.,MACS,92,9.2,B
2017,1,Alemão,,121,12.1,B
2017,1,Francês,,115,11.5,B
2017,1,Espanhol,,140,14.0,B
2017,1,Inglês,,123,12.3,B
2017,1,Biologia e Geologia,BIO.GEO.,97,9.7,B
2017,1,Economia A,ECON.A,110,11.0,B
2017,1,Geometria Descritiva A,GEO.DESC.A,103,10.3,B
2017,1,Literatura Portuguesa,LIT.PORT.,106,10.6,B
2017,2,Alemão,,133,13.3,B
2017,2,Francês,,101,10.1,B
2017,2,Espanhol,,130,13.0,B
2017,2,Inglês,,112,11.2,B
2017,2,Economia A,ECON.A,100,10.0,B
2017,2,Física e Química A,FÍS.QUÍM.A,94,9.4,B
2017,2,História da Cultura e das Artes,HCA,90,9.0,B
2017,2,Latim A,,71,7.1,B
2017,2,Português,PORT.,95,9.5,B
2017,2,PLNM intermédio,,126,12.6,B
2017,2,Filosofia,FILO.,86,8.6,B
2017,2,Matemática A,MAT.A,91,9.1,B
2017,2,Matemática B,MAT.B,104,10.4,B
2017,2,Matemática Aplic. às Ciências Soc.,MACS,86,8.6,B
2017,2,História B,HIST. B,100,10.0,B
2017,2,Literatura Portuguesa,LIT.PORT.,93,9.3,B
2017,2,História A,HIST.A,84,8.4,B
2017,2,Geometria Descritiva A,GEO.DESC.A,113,11.3,B
2017,2,Biologia e Geologia,BIO.GEO.,102,10.2,B
2017,2,Desenho A,DES.A,133,13.3,B
2017,2,Geografia A,GEOG.A,88,8.8,B
2018,1,Filosofia,FILO.,106,10.6,B
2018,1,Português Língua Segunda,,105,10.5,B
2018,1,Português,PORT.,102,10.2,B
2018,1,Português Língua Não Materna,,140,14.0,B
2018,1,Latim A,,118,11.8,B
2018,1,Física e Química A,FÍS.QUÍM.A,102,10.2,B
2018,1,Geografia A,GEOG.A,113,11.3,B
2018,1,História da Cultura e das Artes,HCA,90,9.0,B
2018,1,História A,HIST.A,91,9.1,B
2018,1,Desenho A,DES.A,131,13.1,B
2018,1,História B,HIST. B,115,11.5,B
2018,1,Matemática A,MAT.A,95,9.5,B
2018,1,Matemática B,MAT.B,84,8.4,B
2018,1,Matemática Aplic. às Ciências Soc.,MACS,93,9.3,B
2018,1,Biologia e Geologia,BIO.GEO.,103,10.3,B
2018,1,Economia A,ECON.A,101,10.1,B
2018,1,Geometria Descritiva A,GEO.DESC.A,98,9.8,B
2018,1,Literatura Portuguesa,LIT.PORT.,100,10.0,B
2019,1,Filosofia,FILO.,95,9.5,B
2019,1,Português Língua Segunda,,108,10.8,B
2019,1,Português,PORT.,110,11.0,B
2019,1,Português Língua Não Materna,,150,15.0,B
2019,1,Latim A,,104,10.4,B
2019,1,Física e Química A,FÍS.QUÍM.A,95,9.5,B
2019,1,Geografia A,GEOG.A,100,10.0,B
2019,1,História A,HIST.A,99,9.9,B
2019,1,História B,HIST. B,119,11.9,B
2019,1,História da Cultura e das Artes,HCA,111,11.1,B
2019,1,Matemática A,MAT.A,102,10.2,B
2019,1,Matemática B,MAT.B,109,10.9,B
2019,1,Matemática Aplic. às Ciências Soc.,MACS,102,10.2,B
2019,1,Biologia e Geologia,BIO.GEO.,99,9.9,B
2019,1,Desenho A,DES.A,135,13.5,B
2019,1,Geometria Descritiva A,GEO.DESC.A,120,12.0,B
2019,1,Economia A,ECON.A,110,11.0,B
2019,1,Literatura Portuguesa,LIT.PORT.,103,10.3,B
2019,2,Física e Química A,FÍS.QUÍM.A,92,9.2,B
2019,2,Literatura Portuguesa,LIT.PORT.,76,7.6,B
2019,2,Economia A,ECON.A,111,11.1,B
2019,2,Português Língua Segunda,,89,8.9,B
2019,2,Português,PORT.,95,9.5,B
2019,2,Português Língua Não Materna,,122,12.2,B
2019,2,Geografia A,GEOG.A,108,10.8,B
2019,2,História da Cultura e das Artes,HCA,114,11.4,B
2019,2,Matemática A,MAT.A,99,9.9,B
2019,2,Matemática B,MAT.B,79,7.9,B
2019,2,Matemática Aplic. às Ciências Soc.,MACS,89,8.9,B
2019,2,Filosofia,FILO.,100,10.0,B
2019,2,História A,HIST.A,89,8.9,B
2019,2,Geometria Descritiva A,GEO.DESC.A,101,10.1,B
2019,2,História B,HIST. B,110,11.0,B
2019,2,Biologia e Geologia,BIO.GEO.,97,9.7,B
2019,2,Desenho A,DES.A,139,13.9,B
